trial,rider,path,path_time,path_end_time,n_orders,delta_mean,delta_min,delta_max
trial 1,rider 1,path 1,13,20,1,-21.0,-21,-21
trial 1,rider 1,path 2,31,57,2,-11.5,-17,-6
trial 1,rider 1,path 3,21,84,1,-17.0,-17,-17
trial 1,rider 2,path 1,21,32,1,-17.0,-17,-17
trial 1,rider 2,path 2,13,49,1,-21.0,-21,-21
trial 1,rider 2,path 3,24,78,2,-13.5,-19,-8
trial 1,rider 3,path 1,13,18,1,-21.0,-21,-21
trial 1,rider 3,path 2,13,32,1,-21.0,-21,-21
trial 1,rider 3,path 3,36,79,3,-8.666666666666666,-14,-3
trial 2,rider 1,path 1,26,37,2,-14.5,-17,-12
trial 2,rider 1,path 2,36,82,3,-9.0,-18,1
trial 2,rider 2,path 1,27,37,1,-14.0,-14,-14
trial 2,rider 2,path 2,23,63,1,-16.0,-16,-16
trial 2,rider 2,path 3,23,87,1,-4.0,-4,-4
trial 2,rider 3,path 1,19,27,1,-18.0,-18,-18
trial 2,rider 3,path 2,43,75,4,-2.25,-19,18
trial 3,rider 1,path 1,24,55,3,-15.0,-21,-8
trial 3,rider 1,path 2,27,83,1,-12.0,-12,-12
trial 3,rider 2,path 1,19,44,1,-18.0,-18,-18
trial 3,rider 2,path 2,28,74,4,-8.25,-22,4
trial 3,rider 2,path 3,27,102,1,-1.0,-1,-1
trial 3,rider 3,path 1,21,33,1,-17.0,-17,-17
trial 3,rider 3,path 2,29,78,2,-12.0,-19,-5
trial 4,rider 1,path 1,19,27,1,-18.0,-18,-18
trial 4,rider 1,path 2,20,57,2,-16.5,-20,-13
trial 4,rider 1,path 3,13,72,1,-20.0,-20,-20
trial 4,rider 2,path 1,13,29,1,-21.0,-21,-21
trial 4,rider 2,path 2,27,58,1,-14.0,-14,-14
trial 4,rider 2,path 3,27,86,1,-14.0,-14,-14
trial 4,rider 3,path 1,25,36,1,-15.0,-15,-15
trial 4,rider 3,path 2,53,100,5,-0.6,-14,14
trial 5,rider 1,path 1,9,27,1,-23.0,-23,-23
trial 5,rider 1,path 2,15,47,1,-17.0,-17,-17
trial 5,rider 1,path 3,17,69,1,-19.0,-19,-19
trial 5,rider 2,path 1,23,32,1,-16.0,-16,-16
trial 5,rider 2,path 2,52,98,5,-1.6,-24,20
trial 5,rider 3,path 1,25,31,1,-15.0,-15,-15
trial 5,rider 3,path 2,27,59,1,-14.0,-14,-14
trial 5,rider 3,path 3,31,94,2,-14.0,-20,-8
trial 6,rider 1,path 1,16,30,2,-17.0,-19,-15
trial 6,rider 1,path 2,9,46,1,-23.0,-23,-23
trial 6,rider 1,path 3,17,67,1,-19.0,-19,-19
trial 6,rider 2,path 1,15,29,1,-20.0,-20,-20
trial 6,rider 2,path 2,26,56,2,-7.0,-12,-2
trial 6,rider 2,path 3,31,95,3,-11.333333333333334,-20,-2
trial 6,rider 3,path 1,15,30,1,-20.0,-20,-20
trial 6,rider 3,path 2,13,49,1,-21.0,-21,-21
trial 6,rider 3,path 3,23,73,1,-15.0,-15,-15
trial 7,rider 1,path 1,25,35,1,-15.0,-15,-15
trial 7,rider 1,path 2,28,74,2,-13.5,-16,-11
trial 7,rider 2,path 1,29,41,1,-13.0,-13,-13
trial 7,rider 2,path 2,28,72,2,-12.5,-18,-7
trial 7,rider 2,path 3,32,105,2,0.5,-7,8
trial 7,rider 3,path 1,25,30,1,-15.0,-15,-15
trial 7,rider 3,path 2,40,73,4,-5.25,-12,1
trial 8,rider 1,path 1,25,50,2,-14.5,-17,-12
trial 8,rider 1,path 2,48,109,4,-6.75,-16,7
trial 8,rider 2,path 1,35,78,4,-6.5,-17,10
trial 8,rider 3,path 1,23,38,1,-16.0,-16,-16
trial 8,rider 3,path 2,35,76,2,-1.5,-3,0
trial 9,rider 1,path 1,17,57,1,-19.0,-19,-19
trial 9,rider 1,path 2,34,98,4,-14.5,-29,-1
trial 9,rider 2,path 1,19,58,1,-18.0,-18,-18
trial 9,rider 2,path 2,31,90,2,-9.0,-11,-7
trial 9,rider 3,path 1,7,23,1,-24.0,-24,-24
trial 9,rider 3,path 2,27,53,1,-14.0,-14,-14
trial 9,rider 3,path 3,33,94,3,-10.666666666666666,-21,2
trial 10,rider 1,path 1,15,24,1,-20.0,-20,-20
trial 10,rider 1,path 2,37,63,3,-5.666666666666667,-16,2
trial 10,rider 2,path 1,21,31,1,-17.0,-17,-17
trial 10,rider 2,path 2,23,57,2,-13.5,-19,-8
trial 10,rider 3,path 1,21,29,1,-17.0,-17,-17
trial 10,rider 3,path 2,19,53,1,-18.0,-18,-18
trial 10,rider 3,path 3,43,98,4,-2.75,-19,13
trial 11,rider 1,path 1,23,28,1,-16.0,-16,-16
trial 11,rider 1,path 2,25,55,1,-15.0,-15,-15
trial 11,rider 1,path 3,43,103,4,-3.5,-21,20
trial 11,rider 2,path 1,36,60,3,-6.666666666666667,-16,5
trial 11,rider 3,path 1,29,36,1,-13.0,-13,-13
trial 11,rider 3,path 2,40,84,3,-5.333333333333333,-19,5
trial 12,rider 1,path 1,17,26,1,-19.0,-19,-19
trial 12,rider 1,path 2,15,42,1,-13.0,-13,-13
trial 12,rider 1,path 3,23,66,1,-15.0,-15,-15
trial 12,rider 2,path 1,21,26,1,-17.0,-17,-17
trial 12,rider 2,path 2,15,42,1,-12.0,-12,-12
trial 12,rider 2,path 3,26,69,2,-11.5,-16,-7
trial 12,rider 3,path 1,19,28,1,-18.0,-18,-18
trial 12,rider 3,path 2,23,56,1,-16.0,-16,-16
trial 12,rider 3,path 3,39,103,4,-4.25,-18,6
trial 13,rider 1,path 1,21,40,1,-17.0,-17,-17
trial 13,rider 1,path 2,11,58,1,-22.0,-22,-22
trial 13,rider 1,path 3,41,103,4,-9.25,-18,2
trial 13,rider 2,path 1,23,35,1,-16.0,-16,-16
trial 13,rider 2,path 2,22,62,2,-15.0,-20,-10
trial 13,rider 3,path 1,9,15,1,-23.0,-23,-23
trial 13,rider 3,path 2,44,70,3,-3.0,-14,9
trial 14,rider 1,path 1,30,42,3,-13.666666666666666,-24,-4
trial 14,rider 2,path 1,23,28,1,-16.0,-16,-16
trial 14,rider 2,path 2,57,88,6,5.0,-16,31
trial 14,rider 3,path 1,36,47,2,-6.5,-13,0
trial 14,rider 3,path 2,21,70,1,-17.0,-17,-17
trial 15,rider 1,path 1,23,47,1,-16.0,-16,-16
trial 15,rider 1,path 2,40,97,5,-5.4,-16,10
trial 15,rider 2,path 1,23,47,1,-16.0,-16,-16
trial 15,rider 2,path 2,33,85,2,-9.0,-16,-2
trial 15,rider 3,path 1,23,35,1,-16.0,-16,-16
trial 15,rider 3,path 2,38,78,3,-8.333333333333334,-20,3
trial 16,rider 1,path 1,36,68,4,-6.0,-22,7
trial 16,rider 2,path 1,21,36,1,-17.0,-17,-17
trial 16,rider 2,path 2,44,91,3,-4.666666666666667,-16,10
trial 16,rider 3,path 1,21,28,1,-17.0,-17,-17
trial 16,rider 3,path 2,33,64,2,-13.5,-19,-8
trial 16,rider 3,path 3,28,93,2,-12.0,-15,-9
trial 17,rider 1,path 1,38,102,4,-1.5,-9,9
trial 17,rider 2,path 1,17,56,1,-19.0,-19,-19
trial 17,rider 2,path 2,7,64,1,-22.0,-22,-22
trial 17,rider 3,path 1,7,39,1,-24.0,-24,-24
trial 17,rider 3,path 2,13,55,1,-21.0,-21,-21
trial 17,rider 3,path 3,47,107,5,-0.6,-14,11
trial 18,rider 1,path 1,40,62,4,-9.25,-20,7
trial 18,rider 1,path 2,15,79,1,-20.0,-20,-20
trial 18,rider 2,path 1,23,37,1,-16.0,-16,-16
trial 18,rider 2,path 2,29,68,2,-6.5,-16,3
